r,theoretical,observed_1,simulation_mean_1,simulation_low_1,simulation_high_1,observed_2,simulation_mean_2,simulation_low_2,simulation_high_2,observed_3,simulation_mean_3,simulation_low_3,simulation_high_3,observed_4,simulation_mean_4,simulation_low_4,simulation_high_4
8.65,235.061816323222,156.8,168.512,115.2,208,224,215.424,150.4,268.8,204.8,150.368,67.2,201.6,355.2,354.976,297.6,400
8.7,237.787147950211,160,171.392,118.4,211.2,224,215.424,150.4,268.8,208,152,67.2,201.6,355.2,354.976,297.6,400
8.75,240.528187540469,160,172.448,118.4,214.4,224,215.424,150.4,268.8,208,153.056,70.4,204.8,355.2,356,297.6,400
8.8,243.284935093994,160,173.472,118.4,217.6,224,215.424,150.4,268.8,208,154.016,70.4,208,355.2,356,297.6,400
8.85,246.057390610787,160,176.192,124.8,224,224,215.424,150.4,268.8,211.2,155.648,70.4,208,358.4,357.184,297.6,400
8.9,248.845554090848,163.2,178.176,128,224,224,216.288,150.4,268.8,214.4,156.704,70.4,208,358.4,357.824,297.6,400
8.95,251.649425534176,163.2,178.176,128,224,224,216.288,150.4,268.8,214.4,156.704,70.4,208,358.4,357.824,297.6,400
9,254.469004940773,163.2,179.136,128,224,224,217.344,150.4,268.8,214.4,156.704,70.4,208,358.4,357.824,297.6,400
9.05,257.304292310638,166.4,181.824,128,227.2,224,217.344,150.4,268.8,217.6,159.264,73.6,211.2,358.4,359.424,304,400
9.1,260.155287643771,166.4,181.824,128,227.2,224,217.344,150.4,268.8,217.6,159.968,76.8,211.2,358.4,359.424,304,400
9.15,263.021990940171,166.4,181.824,128,227.2,224,217.344,150.4,268.8,217.6,159.968,76.8,211.2,358.4,360.256,304,400
9.2,265.90440219984,172.8,186.784,137.6,230.4,224,217.344,150.4,268.8,217.6,159.968,76.8,211.2,361.6,362.144,310.4,400
9.25,268.802521422777,172.8,189.632,137.6,233.6,224,218.112,150.4,272,217.6,160.896,76.8,211.2,361.6,363.072,310.4,400
